업종그룹,순위,종목코드,종목명,현재가,대비구분,대비가,대비율,조회수치,조회비중
31,377,USAPKG,패키징 코퍼레이션 오브 아메리카,235.41,2,0.21,0.09,20893,0.04
157,378,USABIIB,바이오젠,140.91,5,-0.09,-0.06,20846,0.04
150,379,USAZBH,짐머 바이오멧 홀딩스,105.51,5,-1,-0.94,20845,0.04
188,380,USACNP,센터포인트 에너지,31.87,3,0,0,20763,0.04
127,381,USABBD,방쿠 브라데스쿠 우선주 ADR,1.9882,5,-0.0218,-1.08,20606,0.04
182,382,USAES,에버소스 에너지,57.38,2,0.77,1.36,20511,0.04
150,383,USASTE,스테리스,206.66,3,0,0,20488,0.04
172,384,USALDOS,레이도스 홀딩스,155.01,5,-0.24,-0.15,20383,0.04
288,385,USAZBRA,지브라 테크놀로지스,401.5,2,1.25,0.31,20343,0.04
182,386,USANRG,NRG 에너지,104.18,2,0.11,0.11,20214,0.04
263,387,USANTRS,노던 트러스트,106.12,3,0,0,20144,0.04
127,388,USACFG,시티즌스 파이낸셜 그룹,47.28,2,0.2,0.42,20140,0.04
172,389,USAVRSN,베리사인,210.4,2,0.3,0.14,20084,0.04
248,390,USALUV,사우스웨스트 에어라인스,32.05,5,-0.75,-2.29,19869,0.04
191,391,USAFSLR,퍼스트 솔라,187.79,2,0.97,0.52,19843,0.04
112,392,USATSN,타이슨 푸드,55.25,5,-0.51,-0.91,19753,0.04
117,393,USACLX,크로락스,157.87,5,-0.43,-0.27,19684,0.04
153,394,USALH,랩코프 홀딩스,237.3,3,0,0,19613,0.04
188,395,USACMS,CMS 에너지,66.61,3,0,0,19588,0.04
282,396,USASTX,씨게이트 테크놀로지 홀딩스,93.85,5,-0.49,-0.52,19297,0.04
112,397,USAMKC,맥코믹 앤 컴퍼니 무의결권주,71.78,3,0,0,19292,0.04
31,398,USAIP,인터내셔널 페이퍼,55.58,5,-0.08,-0.14,19253,0.04
172,399,USASNAP,스냅,11.75,5,-0.09,-0.76,19019,0.04
144,400,USAINVH,인비테이션 홈스,30.54,2,0.04,0.13,18947,0.03
229,401,USASTLD,스틸 다이내믹스,125.65,2,0.51,0.41,18805,0.03
202,402,USAULTA,울타 뷰티,406.73,5,-0.65,-0.16,18737,0.03
150,403,USAPODD,인슐릿,258,5,-6.38,-2.41,18731,0.03
244,404,USAJBHT,J.B 헌트 운송 서비스,186,5,-0.55,-0.29,18312,0.03
144,405,USAESS,에섹스 프로퍼티 트러스트,282.85,3,0,0,18281,0.03
136,406,USAL,로우스,85.09,2,0.29,0.34,18169,0.03
263,407,USAPFG,프린시펄 파이낸셜 그룹,80.08,3,0,0,18032,0.03
282,408,USASMCI,슈퍼 마이크로 컴퓨터,31.35,2,0.36,1.16,17877,0.03
236,409,USASNA,스냅-온,345.45,5,-0.67,-0.19,17862,0.03
150,410,USACOO,쿠퍼 컴퍼니스,90.68,3,0,0,17784,0.03
197,411,USABLDR,빌더스 퍼스트소스,162,2,0.46,0.28,17751,0.03
202,412,USABBY,베스트 바이,83.22,2,0.01,0.01,17702,0.03
144,413,USAMAA,미드아메리카 아파트 커뮤니티,148,5,-1.46,-0.98,17692,0.03
172,414,USAGRAB,그랩 홀딩스,4.52,2,0.06,1.35,17557,0.03
172,415,USATRMB,트림블,72.73,2,0.01,0.01,17475,0.03
288,416,USAJBL,자빌,163.85,2,5.68,3.59,17420,0.03
127,417,USAKEY,키코프,18.18,2,0.04,0.22,17327,0.03
242,418,USAFDS,팩트셋 리서치 시스템즈,453.98,3,0,0,17272,0.03
188,419,USANI,나이소스,36.91,2,0.005,0.01,17144,0.03
144,420,USAARE,알렉산드리아 리얼에스테이트 이쿼티,98.43,3,0,0,17093,0.03
153,421,USADGX,퀘스트 다이아그노스틱스,150,5,-0.33,-0.22,17074,0.03
153,422,USAMOH,몰리나 헬스케어,287,5,-1.18,-0.41,16818,0.03
242,423,USAJ,제이콥스 솔루션스,136.22,3,0,0,16760,0.03
172,424,USAGEN,젠 디지털,27.8168,2,0.2468,0.9,16723,0.03
259,425,USAOMC,옴니콤 그룹,85.57,2,0.07,0.08,16647,0.03
236,426,USAPNR,펜테어,101.57,3,0,0,16566,0.03
14,427,USACF,CF 인더스트리스 홀딩스,96.8,2,0.43,0.45,16530,0.03
112,428,USAHRL,호멜 푸즈,30.75,2,1.15,3.89,16475,0.03
197,429,USAMAS,매스코,77.09,3,0,0,16363,0.03
108,430,USABF.B,브라운-포맨 Class B,39.631,2,0.02,0.06,16278,0.03
71,431,USAGPC,제뉴인 파츠,117.55,2,0.17,0.14,16270,0.03
236,432,USAIEX,아이덱스,214.53,3,0,0,16245,0.03
31,433,USABALL,볼,53.85,5,-0.41,-0.76,16228,0.03
150,434,USAHOLX,홀로직,69.75,2,1,1.45,15931,0.03
202,435,USATPR,태피스트리,67.65,3,0,0,15767,0.03
127,436,USASOFI,소파이 테크놀로지스,15.69,2,0.18,1.16,15734,0.03
150,437,USAALGN,얼라인 테크놀로지,216.5,2,0.72,0.33,15711,0.03
259,438,USANWSA,뉴스 코퍼레이션 Class A,27.56,3,0,0,15667,0.03
150,439,USABAX,박스터 인터내셔널,30.64,2,0.43,1.42,15630,0.03
244,440,USAEXPD,익스페디터스 인터내셔널 오브 워싱턴,111.45,3,0,0,15570,0.03
136,441,USAEG,에베레스트 그룹,357.9,2,0.01,0,15400,0.03
201,442,USADG,달러 제너럴,68.84,2,0.27,0.39,15258,0.03
31,443,USAAVY,에이버리 데니슨,190.23,3,0,0,15210,0.03
172,444,USAFFIV,F5,263.04,2,0.74,0.28,15129,0.03
201,445,USADLTR,달러 트리,70.74,2,0.4,0.57,15089,0.03
144,446,USAKIM,킴코 리얼티,21.6,5,-0.43,-1.95,14836,0.03
182,447,USALNT,얼라이언트 에너지,59,2,0.53,0.91,14828,0.03
82,448,USARL,랄프 로렌,237.8,2,1.08,0.46,14750,0.03
150,449,USARVTY,레비티,119.48,2,0.53,0.45,14693,0.03
163,450,USASWKS,스카이웍스 솔루션스,92.28,3,0,0,14643,0.03
36,451,USATXT,텍스트론,77.61,5,-0.95,-1.21,14477,0.03
71,452,USAAPTV,앱티브,60.6,5,-0.29,-0.48,14447,0.03
87,453,USADPZ,도미노스 피자,414.69,2,0.76,0.18,14369,0.03
144,454,USADOC,헬스피크 프로퍼티스,20.51,2,0.19,0.94,14086,0.03
182,455,USAEVRG,에버지,62.02,2,0.34,0.55,14076,0.03
157,456,USAVTRS,비아트리스,11.4,2,0.01,0.09,13988,0.03
157,457,USAINCY,인사이트,72.5,2,0.04,0.06,13857,0.03
263,458,USASLV,iShares Silver Trust ETF,27.9,5,-0.06,-0.21,13770,0.03
31,459,USAAMCR,앰코,9.6975,2,0.0875,0.91,13759,0.03
71,460,USARIVN,리비안 오토모티브,14.33,2,0.39,2.8,13615,0.03
172,461,USAAKAM,아카마이 테크놀로지,90.66,2,0.14,0.15,13607,0.03
144,462,USAUDR,UDR,41.04,3,0,0,13591,0.03
157,463,USAITCI,인트라 셀룰라 테라퓨틱스,126.59,5,-0.12,-0.09,13452,0.02
153,464,USADVA,다비타,162.3,5,-0.06,-0.04,13284,0.02
218,465,USAMRNA,모더나,34.79,2,0.02,0.06,13260,0.02
229,466,USAKGC,킨로스 골드,10.67,2,0.01,0.09,13028,0.02
81,467,USAPOOL,풀,329.475,5,-15.095,-4.38,12926,0.02
172,468,USAEPAM,이팸 시스템즈,228.74,3,0,0,12864,0.02
144,469,USAREG,리젠시 센터스,71.17,3,0,0,12825,0.02
280,470,USAJNPR,주니퍼 네트웍스,38.7,2,0.03,0.08,12742,0.02
236,471,USASWK,스탠리 블랙 & 데커,83.4,2,0.01,0.01,12696,0.02
172,472,USAJKHY,잭 헨리 & 어소시에이츠,171.97,3,0,0,12575,0.02
112,473,USACAG,콘아그라 브랜즈,25.51,3,0,0,12434,0.02
202,474,USAKMX,카맥스,80.28,3,0,0,12237,0.02
244,475,USACHRW,CH 로빈슨 월드와이드,103.03,3,0,0,12156,0.02
153,476,USAUHS,유니버셜 헬스 서비스,182.42,5,-1.17,-0.64,12148,0.02
150,477,USASOLV,솔벤텀,71.79,5,-0.24,-0.33,12125,0.02
144,478,USAHST,호스트 호텔스 & 리조트,17.32,3,0,0,12079,0.02
36,479,USARKLB,로켓 랩 USA,25.08,2,0.21,0.84,12077,0.02
